# Constructed from biom file
#OTU ID	ERR1842970	ERR1842971	ERR1842972	ERR1842973	ERR1842974	ERR1842975	ERR1842976	ERR1842977	ERR1842978	ERR1842979	ERR1842980	ERR1842981	ERR1842982	ERR1842983	ERR1842984	ERR1842985	ERR1842986	ERR1842987	ERR1842988	ERR1842989	ERR1842990	ERR1842991	ERR1842992	ERR1842993	ERR1842994	ERR1842995	ERR1842996
8da2c74c733a63c271b8543decbc9dac	0.0	93.0	3635.0	29.0	176.0	0.0	0.0	20.0	0.0	0.0	0.0	2079.0	0.0	98.0	0.0	0.0	21.0	59.0	0.0	0.0	2794.0	0.0	0.0	0.0	0.0	23.0	70.0
712fc6217e7972e91146a9dbeedf0cd2	206.0	391.0	308.0	275.0	224.0	259.0	502.0	216.0	285.0	215.0	625.0	275.0	388.0	653.0	366.0	784.0	252.0	498.0	69.0	346.0	105.0	53.0	128.0	34.0	118.0	74.0	66.0
372e46ec8d5987be4879ba6af3ede950	507.0	228.0	401.0	111.0	58.0	107.0	31.0	113.0	140.0	273.0	210.0	922.0	85.0	86.0	90.0	0.0	163.0	534.0	495.0	541.0	784.0	97.0	63.0	320.0	44.0	101.0	129.0
50758fbaa010d3f0b32975f8ee23f7ad	0.0	0.0	0.0	0.0	2338.0	0.0	0.0	42.0	0.0	31.0	0.0	0.0	0.0	2673.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	1510.0	0.0	0.0	0.0	0.0
e5bdc2c4b098661304d33c2cae4b24b3	94.0	185.0	163.0	681.0	138.0	422.0	406.0	236.0	184.0	108.0	138.0	182.0	559.0	168.0	565.0	341.0	253.0	260.0	85.0	105.0	112.0	199.0	112.0	102.0	203.0	107.0	277.0
39ce8de32793aef6e4e6fe61ac294dde	214.0	150.0	450.0	210.0	219.0	442.0	343.0	244.0	387.0	298.0	270.0	224.0	274.0	374.0	280.0	525.0	219.0	210.0	96.0	137.0	96.0	50.0	94.0	31.0	61.0	69.0	82.0
5756af2db3a7c8d0ecddf457dca34430	442.0	141.0	273.0	424.0	0.0	273.0	227.0	103.0	158.0	340.0	0.0	237.0	272.0	0.0	0.0	0.0	103.0	1543.0	185.0	0.0	0.0	106.0	0.0	557.0	83.0	0.0	139.0
d2321c69c2f6fd25c78f379370f44c6d	753.0	333.0	309.0	405.0	58.0	55.0	235.0	252.0	34.0	262.0	305.0	147.0	276.0	69.0	24.0	87.0	296.0	94.0	386.0	212.0	100.0	167.0	27.0	104.0	244.0	163.0	137.0
20100c3bf2fc10c4d46c50026f0528bc	424.0	86.0	346.0	280.0	123.0	668.0	81.0	0.0	224.0	302.0	102.0	303.0	333.0	84.0	582.0	77.0	76.0	306.0	143.0	94.0	200.0	128.0	70.0	78.0	58.0	74.0	218.0
e8cce1d3a96f9b2f27cdd75d73f3a4db	290.0	0.0	70.0	0.0	145.0	35.0	148.0	85.0	372.0	121.0	0.0	63.0	85.0	260.0	0.0	136.0	132.0	1339.0	320.0	33.0	78.0	48.0	429.0	758.0	170.0	113.0	0.0
bf1099ac9d661613214ba051ee82ec0a	0.0	194.0	289.0	195.0	0.0	237.0	313.0	426.0	0.0	0.0	107.0	205.0	252.0	0.0	218.0	303.0	490.0	19.0	0.0	400.0	382.0	132.0	0.0	0.0	310.0	507.0	236.0
05da3d6d2b78dedd369088c67c267ba8	0.0	67.0	1458.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	1400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	2024.0	0.0	0.0	0.0	0.0	0.0	0.0
4b1c84799ded30f10c2d189e4dfdf7fd	708.0	87.0	352.0	279.0	0.0	134.0	348.0	253.0	31.0	379.0	85.0	284.0	174.0	0.0	99.0	126.0	409.0	380.0	128.0	156.0	69.0	50.0	57.0	92.0	146.0	94.0	47.0
b64da9ddf987580ab408c1658daa2c36	175.0	122.0	1416.0	0.0	311.0	66.0	25.0	0.0	76.0	69.0	128.0	714.0	0.0	173.0	60.0	0.0	0.0	0.0	88.0	94.0	999.0	0.0	78.0	109.0	34.0	0.0	158.0
d22fe2fc10c3a3617a46bc1573f5e1c9	244.0	111.0	713.0	36.0	42.0	0.0	0.0	941.0	0.0	110.0	103.0	206.0	43.0	31.0	0.0	0.0	664.0	12.0	220.0	15.0	309.0	24.0	22.0	18.0	0.0	828.0	0.0
e6d21d72d3a80ae1d9c924bb52193c09	612.0	28.0	40.0	212.0	327.0	339.0	153.0	442.0	522.0	410.0	36.0	40.0	241.0	247.0	234.0	96.0	231.0	165.0	43.0	0.0	0.0	52.0	25.0	32.0	43.0	41.0	22.0
35333123a10416ce5f531291930df9d9	90.0	45.0	139.0	357.0	96.0	260.0	265.0	412.0	75.0	74.0	24.0	110.0	290.0	195.0	302.0	152.0	412.0	310.0	54.0	31.0	64.0	155.0	154.0	61.0	144.0	145.0	93.0
5cedd6bd8254b935be04e3480543f7a1	0.0	178.0	128.0	116.0	0.0	470.0	539.0	122.0	0.0	0.0	69.0	129.0	114.0	0.0	463.0	628.0	180.0	0.0	0.0	363.0	155.0	21.0	0.0	0.0	146.0	126.0	390.0
eed8fba05761b00bf09b22551c097e5a	382.0	121.0	300.0	0.0	92.0	0.0	0.0	0.0	0.0	193.0	112.0	657.0	67.0	57.0	85.0	0.0	129.0	416.0	381.0	269.0	595.0	0.0	43.0	233.0	0.0	65.0	119.0
d9f400e6e4c703ed8e0e644a17c1ff02	1353.0	402.0	104.0	35.0	0.0	14.0	202.0	101.0	272.0	783.0	239.0	38.0	29.0	0.0	0.0	116.0	55.0	147.0	202.0	34.0	0.0	13.0	0.0	76.0	50.0	21.0	0.0
151cd4de52e270096d2b6a86f8019dfd	96.0	267.0	291.0	167.0	0.0	287.0	449.0	150.0	12.0	72.0	107.0	264.0	127.0	0.0	385.0	192.0	243.0	78.0	22.0	421.0	127.0	39.0	0.0	27.0	248.0	74.0	74.0
3eae800fc6de4b0cd04ef7c9a0524898	186.0	81.0	0.0	164.0	252.0	522.0	176.0	206.0	713.0	126.0	89.0	26.0	172.0	236.0	163.0	202.0	178.0	240.0	59.0	72.0	0.0	57.0	82.0	49.0	50.0	58.0	42.0
